,Table 1. Current-Dollar Gross Domestic Product (GDP) by Metropolitan Area,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
0,,Millions of dollars,,,,,,2014 Rank*
125,"Fond du Lac, WI",3648,3734.0,3936.0,4079.0,4285.0,4503,329
126,"Fort Collins, CO",11232,11711.0,12061.0,12595.0,13285.0,14323,152
127,"Fort Smith, AR-OK",9053,9509.0,9650.0,9874.0,10104.0,10383,192
128,"Fort Wayne, IN",16750,17860.0,18304.0,19142.0,19612.0,20046,118
129,"Fresno, CA",31177,32024.0,34060.0,34616.0,36287.0,37149,71
130,"Gadsden, AL",2571,2615.0,2724.0,2733.0,2836.0,2915,374
131,"Gainesville, FL",10374,10651.0,10631.0,10800.0,11171.0,11557,180
132,"Gainesville, GA",6460,6532.0,7010.0,7220.0,7693.0,8028,216
133,"Gettysburg, PA",2695,2626.0,2597.0,2701.0,2829.0,2956,371
134,"Glens Falls, NY",4090,4232.0,4306.0,4472.0,4526.0,4645,326
135,"Goldsboro, NC",3987,3985.0,4029.0,4190.0,4234.0,4237,335
136,"Grand Forks, ND-MN",3824,3993.0,4042.0,4472.0,4578.0,4788,314
137,"Grand Island, NE",3383,3476.0,3763.0,3965.0,4188.0,4204,337
138,"Grand Junction, CO",5009,4848.0,4992.0,5150.0,5179.0,5342,293
139,"Grand Rapids-Wyoming, MI",39484,41093.0,42752.0,46180.0,48809.0,51921,56
140,"Grants Pass, OR",1813,1785.0,1797.0,1839.0,1847.0,1987,380
141,"Great Falls, MT",2930,3037.0,3138.0,3227.0,3212.0,3317,366
142,"Greeley, CO",7294,7427.0,7810.0,8390.0,9090.0,10165,196
143,"Green Bay, WI",14749,15307.0,15860.0,16590.0,17341.0,17599,130
144,"Greensboro-High Point, NC",33261,34096.0,34877.0,35508.0,36807.0,38567,67
145,"Greenville, NC",6165,6286.0,6612.0,6931.0,7109.0,7363,231
